DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_2 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            14.942              14.488             0.455         7.327
RESSURF           16.812              16.291             0.521         9.586
SOLIN            366.058             366.058             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.569               1.646            -0.077         0.681
CLDHGH            36.745              37.394            -0.649         4.002
CLDLOW            39.047              42.368            -3.321         5.022
CLDMED            27.591              30.982            -3.391         4.953
CLDTOT            59.785              62.793            -3.008         4.650
EKE_850           30.865              32.966            -2.101         4.211
EP             9.336e-02           4.559e-02         4.778e-02         0.440
FLNS              62.734              64.445            -1.711         4.454
FLNSC             87.261              92.090            -4.829         6.614
FLNT             233.578             227.394             6.184         7.183
FLNTC            253.701             248.427             5.274         6.115
FSDS             210.719             212.949            -2.230        10.258
FSDSC            268.329             273.040            -4.711         5.001
FSNS             169.370             165.728             3.642         9.590
FSNSC            219.829             218.044             1.785        12.588
FSNSC_ICE         46.701              44.069             2.632        14.260
FSNSC_LAND       204.045             200.835             3.210        10.942
FSNT             248.520             241.882             6.638        10.527
FSNTC            293.738             288.020             5.718        13.173
ICEAREA           11.680              13.611            -1.931         0.159
LHFLX             63.249              57.506             5.743         9.870
LWCF              20.123              21.032            -0.910         3.253
PRECT              2.054               1.898             0.156         0.466
PRECT_LAND         1.727               1.564             0.164         0.426
PRECT_OCEAN        2.646               2.521             0.125         0.529
PREH2O            18.823              14.583             4.240         4.579
PREH2O_OCEAN      24.982              19.915             5.068         5.607
PSI_200           -8.457              -8.580             0.124         0.259
PS               977.423             977.027             0.396         1.741
PSL             1017.006            1017.008            -0.003         1.652
QFLX               2.147               1.944             0.203         0.330
SHFLX             26.575              27.486            -0.911         4.983
SNOWHLND           4.463               6.693            -2.230         9.318
SST               19.374              16.017             3.357         3.420
STRESS_MAG         0.047               0.048            -0.001         0.016
SWCF             -45.218             -46.139             0.920         8.631
T_850            279.657             275.370             4.287         4.316
TGCLDLWP          34.567              31.724             2.843         9.736
TGCLDIWP          15.600              18.004            -2.404         5.519
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.099               0.096             0.004         0.015
AODDUST            0.045               0.046            -0.001         0.014
TREFHT           285.308             280.737             4.571         4.781
TS               285.946             281.393             4.554         4.806
TS_LAND          284.601             279.497             5.104         5.241
U_200             22.223              21.615             0.608         2.158
VT_850             0.385               0.444            -0.059         1.551
Z3_500            56.643              55.748             0.895         0.905
