DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_0.5 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_0.5  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_0.5        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            24.054              28.401            -4.347        14.323
RESSURF           -7.836              -4.000            -3.836        18.083
SOLIN            388.453             388.453             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.504              -0.553             0.049         5.915
CLDHGH            45.010              42.468             2.543        13.721
CLDLOW            38.744              31.963             6.781        11.292
CLDMED            23.610              20.256             3.355        14.127
CLDTOT            65.837              60.489             5.347        11.564
EKE_850           10.736               9.603             1.133         5.811
EP            -4.704e-03           3.125e-02        -3.596e-02         2.997
FLNS              56.218              50.844             5.375        11.387
FLNSC             82.497              67.551            14.946        16.392
FLNT             244.676             253.448            -8.772        19.826
FLNTC            278.241             283.540            -5.299         7.660
FSDS             199.532             208.294            -8.761        25.869
FSDSC            283.199             275.788             7.411         8.373
FSNS             184.692             192.465            -7.773        23.597
FSNSC            262.770             255.784             6.986         7.973
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       238.216             229.004             9.211        11.378
FSNT             268.730             281.849           -13.119        24.081
FSNTC            340.363             340.873            -0.510         1.987
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            117.245             128.333           -11.088        28.663
LWCF              33.565              30.092             3.473        14.028
PRECT              4.056               4.398            -0.342         2.690
PRECT_LAND         3.326               2.994             0.332         1.714
PRECT_OCEAN        4.254               4.821            -0.568         2.937
PREH2O            28.832              41.252           -12.420        13.542
PREH2O_OCEAN      29.969              43.394           -13.425        14.411
PSI_200           -3.007              -2.689            -0.319         1.023
PS               996.576             996.463             0.114         1.642
PSL             1011.811            1011.561             0.251         1.571
QFLX               4.051               4.429            -0.378         0.720
SHFLX             19.064              17.288             1.776         7.429
SNOWHLND           0.000               0.000             0.000         0.000
SST               22.057              26.955            -4.898         5.066
STRESS_MAG         0.091               0.073             0.018         0.034
SWCF             -71.633             -59.024           -12.609        24.606
T_850            283.974             289.562            -5.588         5.716
TGCLDLWP          64.189              48.743            15.446        31.911
TGCLDIWP          19.082              15.982             3.100        12.246
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.157               0.167            -0.010         0.072
AODDUST            0.023               0.038            -0.014         0.051
TREFHT           293.465             298.618            -5.153         5.287
TS               294.484             299.575            -5.091         5.270
TS_LAND          291.712             297.636            -5.923         6.074
U_200             -4.898               1.607            -6.506         8.521
VT_850             4.858               3.315             1.543         2.677
Z3_500            57.318              58.493            -1.175         1.177
