DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1.4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_1.4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_1.4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             0.184               0.526            -0.342         3.679
RESSURF           -1.328              -1.313            -0.015         6.437
SOLIN            338.285             338.285             0.000         0.000
AAM            1.523e+26           1.508e+26         1.529e+24      -999.000
CHI_200           -0.006              -0.005            -0.001         0.665
CLDHGH            39.087              39.296            -0.209         3.215
CLDLOW            39.915              41.085            -1.170         3.054
CLDMED            25.552              26.919            -1.367         3.112
CLDTOT            61.990              63.080            -1.090         3.207
EKE_850           25.666              26.580            -0.913         2.856
EP             1.430e-02           1.480e-02        -5.007e-04         0.555
FLNS              54.737              56.554            -1.817         3.560
FLNSC             78.143              81.705            -3.562         4.660
FLNT             238.895             236.557             2.338         4.750
FLNTC            263.214             261.436             1.778         3.063
FSDS             188.379             189.044            -0.665         5.978
FSDSC            243.971             245.921            -1.950         2.292
FSNS             164.465             163.904             0.561         5.499
FSNSC            214.900             215.410            -0.510         4.475
FSNSC_ICE         41.129              37.609             3.519         7.911
FSNSC_LAND       193.810             193.127             0.683         4.914
FSNT             239.079             237.083             1.997         5.313
FSNTC            285.471             284.182             1.289         4.436
ICEAREA           15.971              19.496            -3.525         0.149
LHFLX             92.061              89.068             2.993         6.949
LWCF              24.319              24.879            -0.560         3.098
PRECT              3.144               3.036             0.108         0.517
PRECT_LAND         2.291               2.185             0.106         0.400
PRECT_OCEAN        3.625               3.533             0.092         0.569
PREH2O            28.508              25.384             3.124         3.594
PREH2O_OCEAN      32.971              29.671             3.300         3.952
PSI_200           -0.014              -0.014            -0.000         0.158
PS               985.682             985.375             0.307         0.989
PSL             1011.708            1011.505             0.203         0.952
QFLX               3.158               3.050             0.108         0.204
SHFLX             18.995              19.595            -0.600         3.485
SNOWHLND          11.366              12.135            -0.769         5.346
SST               22.035              20.472             1.564         1.623
STRESS_MAG         0.061               0.064            -0.002         0.009
SWCF             -46.391             -47.099             0.708         5.004
T_850            282.959             281.053             1.906         1.996
TGCLDLWP          39.451              38.346             1.105         6.504
TGCLDIWP          16.437              17.486            -1.049         3.875
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.103               0.102             0.001         0.016
AODDUST            0.026               0.026            -0.001         0.012
TREFHT           289.581             287.572             2.010         2.254
TS               290.397             288.410             1.987         2.268
TS_LAND          283.863             281.425             2.439         2.634
U_200             17.444              17.409             0.035         1.601
VT_850             0.088               0.099            -0.011         1.071
Z3_500            56.915              56.479             0.437         0.449
