DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PI.CO2_4 (yrs 41-50)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-50)
 
Variable    e.ie12.E1850C5.f19_g16.PI.CO2_4  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PI.CO2_4        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            54.911              53.611             1.300         8.934
RESSURF           27.449              24.317             3.132        13.050
SOLIN            417.133             417.133             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.291              -0.370             0.079         1.863
CLDHGH            41.103              42.293            -1.190         9.860
CLDLOW            30.241              33.013            -2.772         7.224
CLDMED            19.619              20.383            -0.764         6.560
CLDTOT            57.967              60.712            -2.745         8.737
EKE_850           10.690              11.653            -0.962         3.719
EP            -3.363e-01          -2.416e-01        -9.472e-02         2.051
FLNS              37.225              51.240           -14.015        16.446
FLNSC             46.473              68.725           -22.252        23.183
FLNT             256.392             252.317             4.075        13.501
FLNTC            283.181             283.529            -0.348         5.567
FSDS             225.477             228.817            -3.340        16.717
FSDSC            290.725             300.408            -9.682         9.974
FSNS             209.354             212.132            -2.778        15.115
FSNSC            270.851             279.579            -8.728         9.125
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       243.570             250.099            -6.529         7.197
FSNT             311.302             305.928             5.375        14.522
FSNTC            369.525             368.505             1.020         2.204
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            126.630             118.822             7.808        22.428
LWCF              26.790              31.212            -4.422        10.100
PRECT              4.756               4.379             0.377         1.837
PRECT_LAND         4.379               3.813             0.566         1.674
PRECT_OCEAN        4.859               4.543             0.316         1.889
PREH2O            65.330              40.782            24.548        25.339
PREH2O_OCEAN      67.753              42.447            25.307        25.996
PSI_200           -1.531              -1.200            -0.331         0.480
PS               997.983             996.194             1.789         2.018
PSL             1012.878            1011.245             1.632         1.870
QFLX               4.419               4.137             0.282         0.605
SHFLX             18.050              17.753             0.297        11.578
SNOWHLND           0.000               0.000             0.000         0.000
SST               32.240              26.805             5.434         5.464
STRESS_MAG         0.050               0.056            -0.006         0.018
SWCF             -58.223             -62.577             4.355        14.807
T_850            296.563             289.765             6.798         6.910
TGCLDLWP          50.334              50.253             0.081        18.231
TGCLDIWP          15.277              18.132            -2.854         8.659
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.133               0.132             0.000         0.043
AODDUST            0.020               0.023            -0.003         0.015
TREFHT           304.954             298.695             6.259         6.386
TS               305.777             299.708             6.069         6.251
TS_LAND          306.902             298.708             8.194         8.384
U_200              3.192               3.199            -0.007         3.079
VT_850             0.146               0.655            -0.508         2.028
Z3_500            60.155              58.441             1.714         1.714
